DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
14,19,R6,CELAYA,,30_327_1_03,438_56_346902,556,278,139,139,46.33333333,3,0,-100
14,19,R6,CELAYA,,30_327_13_03,438_56_348902,388,194,97,97,32.33333333,7,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_349902,386,193,96.5,96.5,32.16666667,8,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_350902,390,195,97.5,97.5,32.5,0,0,0
14,19,R6,CELAYA,,30_327_1_03,438_56_351902,340,170,85,85,28.33333333,12,0,-100
14,19,R6,CELAYA,,30_327_2_03,438_56_352902,764,382,191,191,63.66666667,14,0,-100
14,19,R6,CELAYA,,30_327_2_03,438_56_353902,308,154,77,77,25.66666667,5,0.6494,-66.6667
14,19,R6,CELAYA,,30_327_2_03,438_56_354902,188,94,47,47,15.66666667,170,5.3191,-94.2857
14,19,R6,CELAYA,,30_327_2_03,438_56_355902,484,242,121,121,40.33333333,362,6.1983,-92.0424
14,19,R6,CELAYA,,30_327_3_03,438_56_356902,1384,692,346,346,115.3333333,1,0,-100
14,19,R6,CELAYA,,30_327_2_03,438_56_357902,570,285,142.5,142.5,47.5,7,0.7018,-55.5556
14,19,R6,CELAYA,,30_327_1_03,438_56_358902,164,82,41,41,13.66666667,7,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_359902,306,153,76.5,76.5,25.5,11,0.6536,-83.3333
14,19,R6,CELAYA,,30_327_1_03,438_56_360902,430,215,107.5,107.5,35.83333333,8,0,-100
14,19,R6,CELAYA,,30_327_13_03,438_56_361902,556,278,139,139,46.33333333,2,0,-100
14,19,R6,CELAYA,,30_327_13_03,438_56_362902,1174,587,293.5,293.5,97.83333333,350,1.8739,-93.9058
14,19,R6,CELAYA,,30_327_13_03,438_56_363902,440,220,110,110,36.66666667,0,0,0
14,19,R6,CELAYA,,30_327_13_03,438_56_364902,432,216,108,108,36,1,0,-100
14,19,R6,CELAYA,,30_327_13_03,438_56_365902,228,114,57,57,19,1,0,-100
14,19,R6,CELAYA,,30_327_13_03,438_56_366902,1240,620,310,310,103.3333333,58,0.1613,-96.6102
14,19,R6,CELAYA,,30_327_1_03,438_56_370902,348,174,87,87,29,8,0.5747,-77.7778
14,19,R6,CELAYA,,30_327_1_03,438_56_371902,486,243,121.5,121.5,40.5,10,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_372902,562,281,140.5,140.5,46.83333333,16,0,-100
14,19,R6,CELAYA,,30_327_2_03,438_56_373902,518,259,129.5,129.5,43.16666667,6,0,-100
